timestamp,variable,unit,value
2026-08-08 14:00:00,temp_ch2.temperature,ºF,53.6
2026-08-08 14:00:00,soil_ch2.ad,,221.0
2026-08-08 14:00:00,indoor.temperature,ºF,58.6
2026-08-08 14:05:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 14:05:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 14:05:00,indoor.app_tempin,ºF,56.3
2026-08-08 14:05:00,pressure.relative,inHg,28.2
2026-08-08 14:05:00,indoor.temperature,ºF,58.6
2026-08-08 14:05:00,soil_ch1.ad,,270.0
2026-08-08 14:05:00,temp_ch1.temperature,ºF,54.3
2026-08-08 14:05:00,pressure.absolute,inHg,28.2
2026-08-08 14:05:00,indoor.feels_like,ºF,58.6
2026-08-08 14:05:00,indoor.dew_point,ºF,39.6
2026-08-08 14:05:00,temp_ch2.temperature,ºF,53.7
2026-08-08 14:05:00,indoor.humidity,%,49.0
2026-08-08 14:05:00,soil_ch2.ad,,221.0
2026-08-08 14:10:00,pressure.relative,inHg,28.2
2026-08-08 14:10:00,pressure.absolute,inHg,28.2
2026-08-08 14:10:00,indoor.temperature,ºF,58.7
2026-08-08 14:10:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 14:10:00,temp_ch1.temperature,ºF,54.3
2026-08-08 14:10:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 14:10:00,indoor.app_tempin,ºF,56.3
2026-08-08 14:10:00,indoor.humidity,%,49.0
2026-08-08 14:10:00,indoor.dew_point,ºF,39.6
2026-08-08 14:10:00,temp_ch2.temperature,ºF,53.8
2026-08-08 14:10:00,soil_ch2.ad,,221.0
2026-08-08 14:10:00,indoor.feels_like,ºF,58.6
2026-08-08 14:10:00,soil_ch1.ad,,270.0
2026-08-08 14:15:00,temp_ch1.temperature,ºF,54.3
2026-08-08 14:15:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 14:15:00,indoor.dew_point,ºF,39.6
2026-08-08 14:15:00,indoor.feels_like,ºF,58.6
2026-08-08 14:15:00,pressure.relative,inHg,28.2
2026-08-08 14:15:00,pressure.absolute,inHg,28.2
2026-08-08 14:15:00,indoor.temperature,ºF,58.7
2026-08-08 14:15:00,soil_ch2.ad,,221.0
2026-08-08 14:15:00,indoor.humidity,%,49.0
2026-08-08 14:15:00,indoor.app_tempin,ºF,56.3
2026-08-08 14:15:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 14:15:00,soil_ch1.ad,,270.0
2026-08-08 14:15:00,temp_ch2.temperature,ºF,53.7
