timestamp_local (America/Santiago),indoor.app_tempin,indoor.dew_point,indoor.feels_like,indoor.humidity,indoor.temperature,pressure.absolute,pressure.relative,soil_ch1.ad,soil_ch1.soilmoisture,soil_ch2.ad,soil_ch2.soilmoisture,temp_ch1.temperature,temp_ch2.temperature
2026-08-19 13:00:00,16.733333333333334,8.841666666666667,16.966666666666665,58.91666666666666,16.966666666666665,28.25583333333333,28.25583333333333,276.0,60.0,238.25,48.25,12.375,11.883333333333333
2026-08-19 14:00:00,17.108333333333334,9.2,17.283333333333335,59.0,17.283333333333335,28.245,28.245,276.0,60.0,237.91666666666663,48.0,12.475,11.9
2026-08-19 15:00:00,18.05,10.016666666666667,18.008333333333333,59.66666666666666,18.008333333333333,28.23583333333333,28.23583333333333,275.9166666666667,60.0,237.1818181818182,48.0,12.625,11.9
2026-08-19 16:00:00,18.45833333333333,10.691666666666668,18.241666666666667,61.333333333333336,18.25,28.23333333333333,28.23333333333333,275.0,60.0,237.0,48.0,12.766666666666666,11.875
2026-08-19 17:00:00,18.175,10.433333333333334,17.991666666666667,61.25,17.991666666666667,28.239166666666662,28.239166666666662,275.0,60.0,236.8333333333333,48.0,12.9,11.85
2026-08-19 18:00:00,17.900000000000002,10.2,17.8,61.0,17.8,28.246666666666663,28.246666666666663,275.0,60.0,236.0,48.0,12.95,11.9
2026-08-19 19:00:00,17.583333333333332,10.116666666666664,17.533333333333335,61.75,17.533333333333335,28.258333333333336,28.258333333333336,275.0,60.0,236.0,48.0,13.0,11.916666666666666
2026-08-19 20:00:00,17.216666666666665,9.875,17.208333333333332,62.0,17.208333333333332,28.264166666666668,28.264166666666668,275.0,60.0,236.0,48.0,13.0,11.933333333333332
2026-08-19 21:00:00,16.849999999999998,9.633333333333333,16.941666666666666,62.0,16.941666666666666,28.26333333333333,28.26333333333333,275.0,60.0,235.9090909090909,47.90909090909091,13.0,12.0
2026-08-19 22:00:00,16.599999999999998,9.425,16.724999999999998,62.0,16.724999999999998,28.258333333333336,28.258333333333336,275.0,60.0,235.2,47.2,13.008333333333333,12.0
2026-08-19 23:00:00,16.275000000000002,9.158333333333331,16.45,62.0,16.45,28.264166666666668,28.264166666666668,275.0,60.0,235.0,47.0,13.0,12.091666666666669
2026-08-20 00:00:00,15.958333333333334,8.799999999999999,16.233333333333334,61.25,16.233333333333334,28.2675,28.2675,274.9166666666667,59.91666666666666,235.0,47.0,12.983333333333334,12.058333333333332
2026-08-20 01:00:00,15.725,8.541666666666666,16.058333333333334,61.0,16.041666666666668,28.251666666666665,28.251666666666665,274.1666666666667,59.16666666666666,235.0,47.0,12.9,12.058333333333332
2026-08-20 02:00:00,15.458333333333334,8.258333333333333,15.858333333333334,60.5,15.858333333333334,28.2375,28.2375,274.0,59.0,235.0,47.0,12.883333333333333,12.1
2026-08-20 03:00:00,15.15,7.899999999999999,15.641666666666666,60.0,15.641666666666666,28.221666666666664,28.221666666666664,274.0,59.0,234.9090909090909,47.0,12.800000000000002,12.1
2026-08-20 04:00:00,14.85,7.55,15.416666666666666,59.41666666666666,15.425,28.22,28.22,274.0,59.0,234.3333333333333,47.0,12.791666666666666,12.1
2026-08-20 05:00:00,14.633333333333333,7.25,15.266666666666666,58.833333333333336,15.266666666666666,28.219166666666663,28.219166666666663,274.0,59.0,234.4,47.0,12.699999999999998,12.116666666666667
2026-08-20 06:00:00,14.341666666666669,6.8500000000000005,15.058333333333332,58.0,15.05,28.21166666666667,28.21166666666667,274.0,59.0,234.41666666666663,47.0,12.658333333333331,12.125
2026-08-20 07:00:00,14.058333333333332,6.675,14.85,58.0,14.858333333333334,28.206666666666667,28.206666666666667,274.0,59.0,234.3333333333333,47.0,12.6,12.108333333333333
2026-08-20 08:00:00,14.608333333333334,6.8500000000000005,15.35,56.75,15.35,28.21166666666667,28.21166666666667,274.0,59.0,234.16666666666663,47.0,12.516666666666666,12.091666666666669
2026-08-20 09:00:00,15.766666666666666,7.649999999999999,16.325,56.41666666666666,16.316666666666666,28.21,28.21,273.25,59.0,234.0,47.0,12.458333333333334,12.1
2026-08-20 10:00:00,16.483333333333334,8.316666666666666,16.875,57.0,16.875,28.2075,28.2075,273.0,59.0,234.0,47.0,12.416666666666666,12.091666666666669
2026-08-20 11:00:00,16.866666666666664,8.566666666666666,17.166666666666668,57.0,17.166666666666668,28.189166666666665,28.189166666666665,273.0,59.0,234.0,47.0,12.483333333333334,12.075
2026-08-20 12:00:00,17.083333333333332,8.941666666666666,17.308333333333334,58.0,17.308333333333334,28.1725,28.1725,273.0,59.0,233.63636363636363,47.0,12.5,12.091666666666669
2026-08-20 13:00:00,17.391666666666666,9.358333333333333,17.516666666666666,58.66666666666666,17.516666666666666,28.151666666666667,28.151666666666667,273.0,59.0,233.22222222222223,47.0,12.6,12.091666666666669
2026-08-20 14:00:00,17.658333333333335,9.633333333333333,17.733333333333334,59.0,17.733333333333334,28.136666666666667,28.136666666666667,272.4166666666667,59.0,233.0,47.0,12.708333333333334,12.075
2026-08-20 15:00:00,17.875,9.958333333333334,17.85833333333333,59.66666666666666,17.875,28.14,28.14,272.0,59.0,233.0,47.0,12.85,12.033333333333331
2026-08-20 16:00:00,17.9,10.008333333333333,17.9,59.66666666666666,17.9,28.136666666666667,28.136666666666667,272.0,59.0,232.16666666666663,47.0,12.975,12.033333333333331
2026-08-20 17:00:00,17.85833333333333,9.5,17.933333333333334,57.66666666666666,17.933333333333334,28.140833333333333,28.140833333333333,272.0,59.0,232.0,47.0,13.05,12.075
2026-08-20 18:00:00,17.650000000000002,8.799999999999999,17.9,55.333333333333336,17.9,28.156666666666663,28.156666666666663,272.0,59.0,231.25,46.25,13.108333333333333,12.1
2026-08-20 19:00:00,17.341666666666665,8.0,17.8,52.66666666666666,17.8,28.176666666666662,28.176666666666662,272.0,59.0,231.0,46.0,13.191666666666665,12.1
2026-08-20 20:00:00,17.09166666666667,7.733333333333333,17.616666666666667,52.41666666666666,17.608333333333334,28.184166666666663,28.184166666666663,271.5833333333333,59.0,231.0,46.0,13.199999999999998,12.116666666666667
2026-08-20 21:00:00,16.825,7.741666666666667,17.333333333333332,53.333333333333336,17.349999999999998,28.1875,28.1875,271.1666666666667,59.0,231.0,46.0,13.199999999999998,12.199999999999998
2026-08-20 22:00:00,16.691666666666666,7.941666666666666,17.191666666666666,54.583333333333336,17.175,28.176666666666662,28.176666666666662,271.0,59.0,231.0,46.0,13.199999999999998,12.208333333333334
2026-08-20 23:00:00,16.349999999999998,7.766666666666667,16.849999999999998,55.0,16.858333333333334,28.176666666666662,28.176666666666662,271.0,59.0,230.66666666666663,46.0,13.183333333333332,12.258333333333333
